     6.500,       2601,      0.000,      0.000,      0.000,      0.000,          0,          0,      0.000,          1, FALSE     
     6.500,       2602,    -33.988,    -28.215,     -4.128,     -0.521,     -1.128,     -0.988,      0.785,          7, FALSE     
     6.500,       2603,    -23.853,     63.431,      7.683,     -2.231,      0.789,     -1.838,      4.710,          6, FALSE     
     6.500,       2604,      6.205,     65.070,     -3.178,     -7.504,      1.273,     -1.543,      3.140,          8, FALSE     
     7.000,       2601,      0.000,      0.000,      0.000,      0.000,          0,          0,      0.000,          1, FALSE     
     7.000,       2602,    -36.053,    -28.475,     -4.705,     -1.000,     -1.154,     -0.958,      0.785,          7, FALSE     
     7.000,       2603,    -20.012,     62.316,      7.443,     -2.933,      0.704,     -1.872,      4.710,          6, FALSE     
     7.000,       2604,      4.616,     61.318,     -2.506,     -8.244,      1.346,     -1.480,      3.140,          8, FALSE     
     7.500,       2601,      0.000,      0.000,      0.000,      0.000,          0,          0,      0.000,          1, FALSE     
     7.500,       2602,    -38.405,    -28.975,     -5.294,     -1.465,     -1.177,     -0.930,      0.785,          7, FALSE     
     7.500,       2603,    -16.291,     60.849,      7.151,     -3.586,      0.612,     -1.904,      4.710,          6, FALSE     
     7.500,       2604,      3.363,     57.196,     -1.793,     -8.945,      1.425,     -1.403,      3.140,          8, FALSE     
     8.000,       2601,      0.000,      0.000,      0.000,      0.000,          0,          0,      0.000,          1, FALSE     
     8.000,       2602,    -41.052,    -29.708,     -5.893,     -1.916,     -1.197,     -0.903,      0.785,          7, FALSE     
     8.000,       2603,    -12.715,     59.056,      6.816,     -4.188,      0.517,     -1.932,      4.710,          6, FALSE     
     8.000,       2604,      2.467,     52.723,     -1.190,     -9.464,      1.206,     -1.037,      3.140,          8, FALSE     
     8.500,       2601,      0.000,      0.000,      0.000,      0.000,          0,          0,      0.000,          1, FALSE     
     8.500,       2602,    -43.999,    -30.666,     -6.500,     -2.356,     -1.215,     -0.879,      0.785,          7, FALSE     
