47.5,      -9.44,       5.45
47.5,      10.36,      -0.74
48.0,      -7.65,       4.89
48.0,      12.16,      -1.30
48.5,      -5.85,       4.33
48.5,      13.95,      -1.86
49.0,      -4.04,       3.76
49.0,      15.76,      -2.42
49.5,      -2.23,       3.20
49.5,      17.57,      -2.99
50.0,      -0.41,       2.63
50.0,      19.39,      -3.56
50.5,       1.42,       2.06
50.5,      21.22,      -4.13
51.0,       3.26,       1.48
51.0,      23.06,      -4.71
51.5,       5.11,       0.90
51.5,      24.91,      -5.29
52.0,       6.97,       0.32
52.0,      26.77,      -5.87
52.5,       8.84,      -0.26
52.5,      28.65,      -6.45
53.0,      10.72,      -0.85
53.0,      30.52,      -7.04
53.5,      12.61,      -1.44
53.5,      32.41,      -7.63
54.0,      14.50,      -2.03
54.0,      34.30,      -8.22
54.5,      16.40,      -2.62
54.5,      36.20,      -8.81
55.0,      18.29,      -3.22
55.0,      38.10,      -9.41
55.5,      20.20,      -3.81
55.5,      40.00,     -10.00
56.0,      22.10,      -4.41
56.0,      38.06,     -10.48
56.5,      24.01,      -5.00
56.5,      36.13,     -10.97
57.0,      25.92,      -5.60
57.0,      34.19,     -11.45
57.5,      27.83,      -6.20
57.5,      32.25,     -11.94
58.0,      29.73,      -6.79
58.0,      30.31,     -12.42
58.5,      31.60,      -7.38
58.5,      28.41,     -12.90
59.0,      33.38,      -7.93
59.0,      26.60,     -13.35
59.5,      34.57,     -11.36
59.5,      14.45,     -16.39
60.0,      34.90,     -11.28
60.0,      14.77,     -16.31
60.5,      34.74,     -11.31
60.5,      14.62,     -16.35
61.0,      34.12,     -11.47
61.0,      14.00,     -16.50
61.5,      33.10,     -11.72
61.5,      12.97,     -16.76
62.0,      31.75,     -12.06
62.0,      11.62,     -17.09
62.5,      30.15,     -12.46
62.5,      10.02,     -17.49
63.0,      28.38,     -12.91
63.0,       8.25,     -17.94
63.5,      26.51,     -13.37
63.5,       6.38,     -18.41
64.0,      24.58,     -13.85
64.0,       4.45,     -18.89
64.5,      22.64,     -14.34
64.5,       2.51,     -19.37
65.0,      20.71,     -14.82
65.0,       0.58,     -19.85
65.5,      18.79,     -15.30
65.5,      -1.33,     -20.33
66.0,      16.90,     -15.77
66.0,      -3.23,     -20.81
66.5,      15.03,     -16.24
66.5,      -5.10,     -21.27
67.0,      13.18,     -16.71
67.0,      -6.95,     -21.74
67.5,      11.34,     -17.16
67.5,      -8.78,     -22.20
68.0,       9.51,     -17.62
68.0,     -10.61,     -22.65
68.5,       7.69,     -18.08
68.5,     -12.44,     -23.11
69.0,       5.86,     -18.53
69.0,     -14.26,     -23.57
69.5,       4.04,     -18.99
69.5,     -16.09,     -24.02
70.0,       2.20,     -19.45
70.0,     -17.93,     -24.48
70.5,       0.35,     -19.91
70.5,     -19.77,     -24.94
71.0,      -1.50,     -20.38
71.0,     -21.63,     -25.41
71.5,      -3.37,     -20.84
71.5,     -23.50,     -25.87
72.0,      -5.25,     -21.31
72.0,     -25.38,     -26.34
72.5,      -7.14,     -21.78
72.5,     -27.26,     -26.82
73.0,      -9.04,     -22.26
73.0,     -29.16,     -27.29
73.5,     -10.94,     -22.74
73.5,     -31.07,     -27.77
74.0,     -12.86,     -23.21
74.0,     -32.98,     -28.25
74.5,     -14.78,     -23.69
74.5,     -34.90,     -28.73
75.0,     -16.70,     -24.18
75.0,     -36.83,     -29.21
75.5,     -18.63,     -24.66
75.5,     -38.76,     -29.69
76.0,     -20.57,     -25.14
